date,disease,evapotranspiration,agb,cumulatedTemperature,cumulatedEvapotranspiration
15/03/2022,false,3.983985855578632,0.0,28.26540420419102,3.983985855578632
16/03/2022,false,4.562549509207319,29.093367770309676,55.79608119796268,8.546535364785951
17/03/2022,false,4.106024630201211,55.54919963892833,83.21233787318364,12.652559994987161
18/03/2022,false,3.867255691335016,81.87242243453994,111.35422198817619,16.519815686322175
19/03/2022,false,3.754046553177605,105.94760569616551,139.0211810080619,20.27386223949978
20/03/2022,false,3.4079121040073734,131.72769971456026,166.91800539159203,23.681774343507154
21/03/2022,false,3.201729322085405,152.66260353289744,195.5616394751052,26.88350366559256
22/03/2022,false,2.96663011326041,173.23949990632653,223.759898378928,29.85013377885297
23/03/2022,false,2.7500736392671894,193.3730187045565,252.16396972460126,32.60020741812016
24/03/2022,false,4.324798810894776,223.1017157466337,280.00370154205945,36.92500622901494
25/03/2022,false,4.536306757603857,251.5141434992815,307.8171496309933,41.46131298661879
26/03/2022,false,4.1885428597337615,281.17894639458467,335.69609838996854,45.64985584635255
27/03/2022,false,4.153605052966378,310.2269627360916,363.9928572584775,49.80346089931893
28/03/2022,false,4.058952015111806,335.99621589010223,392.1340661933358,53.862412914430735
29/03/2022,false,3.7562593960119663,360.26318107154617,419.5719694728878,57.618672310442705
30/03/2022,false,3.317582270858181,382.3686383090808,448.18757157140357,60.93625458130089
31/03/2022,false,4.398446856855896,411.40438340350516,476.78636262371435,65.33470143815678
01/04/2022,false,4.021928066989699,458.5589595531598,504.1259943224352,69.35662950514649
02/04/2022,false,3.8819651563790734,504.0402834839021,532.7067877962671,73.23859466152555
03/04/2022,false,3.445218168433798,547.7366898481948,560.8667720102947,76.68381282995935
04/04/2022,false,3.5453999962731,586.5979246846067,588.7178219880494,80.22921282623246
05/04/2022,false,3.1736004098321864,623.8308507084058,616.7760863678442,83.40281323606465
06/04/2022,false,2.8776909464588707,658.7371139117895,645.6477920597204,86.28050418252352
07/04/2022,false,2.7704833815410157,692.2035446580699,673.4660103918576,89.05098756406453
08/04/2022,false,4.3141418216513125,740.3132788815985,701.8947932010998,93.36512938571585
09/04/2022,false,4.398587636702835,785.1143928726237,729.5440732074503,97.76371702241869
10/04/2022,false,4.0577554159205524,834.996658869424,757.0901740438901,101.82147243833924
11/04/2022,false,4.192777379992941,884.402811439557,784.9436878419029,106.01424981833219
12/04/2022,false,4.0666277501596895,927.7321388488871,812.6045811784259,110.08087756849187
13/04/2022,false,3.5936078575560026,968.0443191781351,840.5373859177498,113.67448542604788
14/04/2022,false,3.270231095194704,1009.4443738973204,867.9462384993983,116.94471652124258
15/04/2022,false,3.1944770714698714,1047.1320059353686,895.9724030289796,120.13919359271246
16/04/2022,false,3.00800871737354,1080.9843233748247,924.2857354907349,123.147202310086
17/04/2022,false,4.172802779405284,1127.750547773783,952.5157332415401,127.32000508949129
18/04/2022,false,4.1634372300673785,1176.1887613051808,980.3081525682687,131.48344231955866
19/04/2022,false,3.842833669382014,1223.3890211669816,1008.0973753764065,135.32627598894067
20/04/2022,false,4.065861493009656,1270.220306475562,1035.9769846268878,139.39213748195033
21/04/2022,false,4.015964837237536,1320.4285032168098,1063.962971439304,143.40810231918786
22/04/2022,false,3.7680711917021332,1369.545365253153,1092.1744334713305,147.17617351088998
23/04/2022,false,3.6173850851499028,1411.254531022337,1119.6361413458433,150.79355859603987
24/04/2022,false,4.129614991649868,1461.1110223707099,1147.3745846810295,154.92317358768975
25/04/2022,false,4.045499871832915,1507.2874479550724,1176.0290206171403,158.96867345952265
26/04/2022,false,3.9640620373032815,1554.7618838646583,1204.2895427827889,162.93273549682593
27/04/2022,false,4.102020746824331,1603.5138578707533,1232.2241372140888,167.03475624365026
28/04/2022,false,3.8992137391984927,1650.4096040762768,1260.633619211636,170.93396998284877
29/04/2022,false,4.192479782303103,1698.039526133856,1289.2965366590392,175.12644976515188
30/04/2022,false,4.147632997111903,1745.5391032271982,1317.0014315670899,179.2740827622638
01/05/2022,false,3.8497850155803133,1813.191718376822,1345.195209810882,183.1238677778441
02/05/2022,false,3.835682434505601,1880.995403770885,1373.2886337619557,186.9595502123497
03/05/2022,false,3.665834628202071,1940.000134224064,1401.1796784847756,190.6253848405518
04/05/2022,false,3.910063214632845,2005.5911106667827,1428.7872499165107,194.53544805518464
05/05/2022,false,3.6801710882921546,2071.068526789006,1456.8409455527428,198.2156191434768
06/05/2022,false,3.841757359189809,2135.539344128406,1484.7296423053692,202.0573765026666
07/05/2022,false,4.255483986171326,2206.58850264008,1512.6019679342141,206.31286048883794
08/05/2022,false,4.0666367450100385,2276.4766356586583,1540.728325922452,210.37949723384799
09/05/2022,false,3.9146586615455896,2347.1317607964606,1568.6164719691897,214.29415589539357
10/05/2022,false,4.279484361376931,2419.565093418736,1596.3198844922754,218.57364025677052
11/05/2022,false,4.257412491025521,2488.496851693309,1624.2244570062483,222.83105274779604
12/05/2022,false,4.025142989074064,2568.575349470254,1652.0803700177578,226.8561957368701
13/05/2022,false,4.3132979851123,2641.9677839806295,1679.838243316056,231.1694937219824
14/05/2022,false,4.195718196577669,2716.824806553116,1707.7075032358894,235.36521191856008
15/05/2022,false,4.168108108380889,2789.073352784564,1735.678215664078,239.53332002694097
16/05/2022,false,3.843501732832759,2856.752969818558,1763.2600324781647,243.37682175977372
17/05/2022,false,4.214902969366285,2932.4240482714545,1790.9405604054396,247.59172472914
18/05/2022,false,4.1971508900611445,3003.9595292201043,1818.685608029104,251.78887561920115
