date,disease,evapotranspiration,agb,cumulatedTemperature,cumulatedEvapotranspiration
15/03/2022,false,4.359961989621909,0.0,27.84446269029517,4.359961989621909
16/03/2022,false,4.550703335273495,28.012684162826332,56.04136872328657,8.910665324895405
17/03/2022,false,4.335040979106115,55.66941682392131,83.85705019052367,13.24570630400152
18/03/2022,false,4.081099242232695,85.50626391375901,111.93860580850557,17.326805546234215
19/03/2022,false,4.390084628470669,116.31319851144114,140.428769019139,21.716890174704886
20/03/2022,false,4.2646652694506875,143.16293916890766,168.75274966965196,25.981555444155575
21/03/2022,false,4.4279651204121695,173.6167901361517,197.07420308462778,30.409520564567742
22/03/2022,false,4.030810983361277,204.10846977922898,225.25236111308638,34.44033154792902
23/03/2022,false,3.8798857601573,232.7436352448691,252.31599143192943,38.32021730808632
24/03/2022,false,4.18470894673425,261.51773394355416,280.33378202449165,42.50492625482057
25/03/2022,true,2.8892263285096016,280.79730932258946,307.2215724603488,45.39415258333017
26/03/2022,false,4.57165236693055,310.62986666766994,335.2388151069928,49.96580495026072
27/03/2022,false,4.043975457179161,338.7419306172229,363.00790024778166,54.00978040743988
28/03/2022,false,3.9081032785638388,364.1806574954876,391.358355045632,57.91788368600371
29/03/2022,false,3.6005209760721635,390.9875799021372,418.631199471908,61.51840466207587
30/03/2022,false,3.5575727590881328,415.2359145199981,446.9301820385115,65.07597742116401
31/03/2022,false,3.040470376454199,438.8325266180768,475.13390999394323,68.1164477976182
01/04/2022,false,4.306468380658583,488.53130493690304,503.2750012527814,72.4229161782768
02/04/2022,false,4.037298184258266,540.1311749329161,530.9225601845048,76.46021436253505
03/04/2022,false,4.103898539507753,590.1676742046742,559.2948200189115,80.56411290204281
04/04/2022,false,3.928859577471447,640.5335347752367,587.309859854693,84.49297247951425
05/04/2022,false,4.251549696833488,686.7059234637628,615.1752770305794,88.74452217634774
06/04/2022,false,3.677596678511852,732.5249806979504,643.718700551092,92.42211885485959
07/04/2022,false,3.6166773274044117,773.7992144018141,671.6427559263415,96.03879618226401
08/04/2022,false,4.245648915158261,821.8861226215528,700.3408211074592,100.28444509742226
09/04/2022,false,4.210093438523502,869.559341532362,728.9889081017499,104.49453853594576
10/04/2022,false,3.8589122688297954,913.9933085966583,757.0414149006776,108.35345080477556
11/04/2022,false,4.0523022011189305,960.7881014300642,784.9987068884054,112.4057530058945
12/04/2022,false,3.66731853510218,1007.0906521065688,812.6855513435017,116.07307154099668
13/04/2022,false,3.5963799402470538,1050.7875047984744,841.476894514268,119.66945148124373
14/04/2022,false,3.516799402816408,1090.2417464015175,869.0317765450799,123.18625088406013
15/04/2022,false,3.2009428246788514,1126.64814478013,897.161936218518,126.38719370873898
16/04/2022,false,3.9928314323413083,1176.2239353985142,925.6912585238933,130.3800251410803
17/04/2022,false,4.021758703636485,1224.660733148512,953.7983899237167,134.4017838447168
18/04/2022,false,4.192922315366524,1270.9192232990554,981.8981999913774,138.59470616008332
19/04/2022,false,3.8188293787067904,1315.7712180210522,1009.1709152395266,142.41353553879011
20/04/2022,false,3.7021751051063725,1355.72455594469,1037.0600880441168,146.11571064389648
21/04/2022,false,3.3658846872433834,1394.7047164502171,1065.311623806441,149.48159533113986
22/04/2022,false,3.2180814515175906,1432.3434889669613,1093.9472895408448,152.69967678265743
23/04/2022,false,3.016733671767435,1469.1356792199713,1122.0941312085554,155.71641045442487
24/04/2022,false,2.7980703151336233,1503.5965660910156,1150.1621104441035,158.5144807695585
25/04/2022,false,2.56037750711705,1536.2938773435735,1178.1593067738013,161.07485827667554
26/04/2022,false,2.490630909834967,1565.6665055292806,1206.7396914182623,163.56548918651052
27/04/2022,false,4.145051667407375,1614.1410058875217,1235.180616679709,167.7105408539179
28/04/2022,false,4.1178607422269575,1665.5948040770909,1263.8907984182251,171.82840159614486
29/04/2022,false,3.9718926488064774,1714.7995284340693,1291.6344609718215,175.80029424495135
30/04/2022,false,4.1485844027809735,1762.2350531984744,1320.1080336609848,179.94887864773233
01/05/2022,false,3.434372289819091,1823.3852694995871,1348.1479870664366,183.38325093755142
02/05/2022,false,3.3984719501673557,1882.0734875126675,1376.123841293335,186.7817228877188
03/05/2022,false,3.255244029749365,1940.3320677939982,1404.039993502657,190.03696691746816
04/05/2022,false,3.609797489864103,2005.3389517933015,1432.0590308292944,193.64676440733226
05/05/2022,false,3.8099959578884985,2071.432388087569,1459.9829424479049,197.45676036522076
06/05/2022,false,3.613444575992108,2132.811134867546,1487.8597267232144,201.07020494121286
07/05/2022,false,4.313513028190359,2205.897240250202,1515.6742799629114,205.38371796940322
08/05/2022,false,4.221283078205709,2279.180150488612,1543.3847326019315,209.60500104760894
09/05/2022,false,3.9631554245132166,2345.26730074696,1571.0247336314017,213.56815647212215
10/05/2022,false,4.235085961698813,2417.8447997520134,1598.8036727641982,217.80324243382097
11/05/2022,false,4.32913225826613,2493.640575813895,1626.692146114078,222.1323746920871
12/05/2022,false,4.279294315622047,2565.9171542404943,1654.4080029535048,226.41166900770915
13/05/2022,false,4.240565656814181,2638.050434981708,1682.428175324163,230.65223466452332
14/05/2022,false,4.129044620493203,2708.007025415246,1710.3423583152562,234.78127928501652
15/05/2022,false,3.89723153402647,2773.383744249115,1738.1284273073584,238.678510819043
16/05/2022,false,4.352773358049333,2844.7585007076455,1765.8943782834967,243.03128417709235
17/05/2022,false,4.318280419606312,2918.1625318739993,1793.688043964035,247.34956459669866
18/05/2022,false,4.4357043354671895,2998.9786014301467,1821.602166651951,251.78526893216585
